,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
188,IT-Ro2,42.3903,11.9209,160.0,200201010000,201212312330,Roccarespampani 2
189,IT-SR2,43.73202,10.29091,4.0,201301010000,202212312330,San Rossore 2
190,IT-SRo,43.7279,10.2844,6.0,199901010000,201212312330,San Rossore
191,IT-Tor,45.84444,7.578055,2168.0,200801010000,202212312330,Torgnon
192,JP-BBY,43.323,141.8107,,201501010000,201812312300,Bibai bog
193,JP-MBF,44.3869,142.3186,,200301010000,200512312330,Moshiri Birch Forest Site
194,JP-Mse,36.0539,140.0269,,201201010000,201212312300,Mase rice paddy field
195,JP-SMF,35.2617,137.0788,,200201010000,200612312330,Seto Mixed Forest Site
196,JP-SwL,36.0466,138.1084,,201601010000,201612312300,Suwa Lake
197,KR-CRK,38.2013,127.2506,182.0,201501010000,201812312300,Cheorwon Rice paddy
198,MX-Tes,27.8446,-109.2977,460.0,200401010000,200912312330,"Tesopaco, secondary tropical dry forest"
199,MY-MLM,1.4536,111.1495,,201401010000,201512312300,Maludam National Park
200,MY-PSO,2.973,102.3062,,200301010000,200912312330,Pasoh Forest Reserve (PSO)
201,NL-Hor,52.2403,5.0713,2.2,200401010000,201112312330,Horstermeer
202,NL-Loo,52.1666,5.7436,25.0,199601010000,201412312330,Loobos
203,NZ-Kop,-37.3879,175.5539,,201112312330,201512312230,Kopuatai
204,PA-SPn,9.3181,-79.6346,78.0,200701010000,200912312330,Sardinilla Plantation
205,PA-SPs,9.3138,-79.6314,68.0,200701010000,200912312330,Sardinilla-Pasture
206,PE-QFR,-3.8344,-73.319,104.0,201801010000,201912312330,Quistococha Forest Reserve
207,PH-RiF,14.1412,121.2653,27.0,201112312330,201412312300,Philippines Rice Institute flooded
208,RU-Ch2,68.6169,161.3509,4.0,201312312330,201612312300,Chersky reference
209,RU-Che,68.613,161.3414,6.0,200201010000,201612312300,Cherski
210,RU-Cok,70.8291,147.4943,48.0,200301010000,201612312300,Chokurdakh
211,RU-Fy2,56.4476,32.9019,,201501010000,202012312330,Fyodorovskoye dry spruce
212,RU-Fyo,56.4615,32.9221,265.0,199801010000,202012312330,Fyodorovskoye
213,RU-Ha1,54.7252,90.0022,446.0,200201010000,200412312330,Hakasia steppe
214,SD-Dem,13.2829,30.4783,500.0,200501010000,200912312330,Demokeya
215,SE-Deg,64.182,19.5565,270.0,200101010000,202212312330,Degero
216,SE-Htm,56.09763,13.41897,115.0,201501010000,202212312330,
217,SE-Nor,60.0865,17.479504,45.0,201401010000,202212312330,
218,SE-Ros,64.1725,19.738,,201401010000,202012312330,
219,SE-Sto,68.35594288,19.04520892,351.893,202201010000,202212312330,
220,SE-Svb,64.25611,19.7745,267.0,201401010000,202212312330,
221,SJ-Adv,78.186,15.923,17.0,201101010000,201412312330,Adventdalen
222,SN-Dhr,15.4028,-15.4322,40.0,201001010000,201312312330,Dahra
223,UK-AMo,55.792546,-3.2436918,270.0,202101010000,202212312330,
224,UK-LBT,51.5215,-0.1389,21.0,201101010000,201412312300,London_BT
225,US-A03,70.4953,-149.8823,5.0,201412312330,201812312300,ARM-AMF3-Oliktok
226,US-A10,71.3242,-156.6149,4.0,201112312330,201812312300,ARM-NSA-Barrow
227,US-A32,36.8193,-97.8198,335.0,201501010000,201712312330,ARM-SGP Medford hay pasture
228,US-A74,36.8085,-97.5489,337.0,201601010000,201712312330,ARM SGP milo field
229,US-ALQ,46.0308,-89.6067,,201501010000,202112312330,Allequash Creek Site
230,US-AR1,36.4267,-99.42,611.0,200901010000,201212312330,ARM USDA UNL OSU Woodward Switchgrass 1
231,US-AR2,36.6358,-99.5975,646.0,200901010000,201212312330,ARM USDA UNL OSU Woodward Switchgrass 2
232,US-ARM,36.6058,-97.4888,314.0,200301010000,202012312330,ARM Southern Great Plains site- Lamont
233,US-ARb,35.5497,-98.0402,424.0,200501010000,200612312330,ARM Southern Great Plains burn site- Lamont
234,US-ARc,35.5465,-98.04,424.0,200501010000,200612312330,ARM Southern Great Plains control site- Lamont
235,US-Atq,70.4696,-157.4089,15.0,200301010000,201601052300,Atqasuk
236,US-BRG,39.2167,-86.5406,180.0,201601010000,202012312330,Bayles Road Grassland Tower
237,US-BZB,64.6955,-148.3208,100.0,201101010000,202112312330,Bonanza Creek Thermokarst Bog
238,US-BZF,64.7013,-148.3121,95.0,201101010000,202112312330,Bonanza Creek Rich Fen
239,US-BZS,64.6963,-148.3235,100.0,201001010000,202112312330,Bonanza Creek Black Spruce
240,US-BZo,64.6936,-148.33,100.0,201801010000,202112312330,Bonanza Creek Old Thermokarst Bog
241,US-Bar,44.0646,-71.2881,272.0,200401010000,202112312330,Bartlett Experimental Forest
242,US-Beo,71.281,-156.6123,,201301010000,201412312300,Barrow Environmental Observatory (BEO) tower
243,US-Bes,71.2809,-156.5965,4.6,201301010000,201512312300,Barrow-Bes (Biocomplexity Experiment South tower)
